REPORTED_DATE,CRIME_COUNT
2017-01-02,85
2017-01-03,135
2017-01-04,127
2017-01-05,95
2017-01-06,114
2017-01-07,112
2017-01-08,111
2017-01-09,126
2017-01-10,152
2017-01-11,159
2017-01-12,169
2017-01-13,154
2017-01-14,126
2017-01-15,114
2017-01-16,121
2017-01-17,167
2017-01-18,161
2017-01-19,173
2017-01-20,168
2017-01-21,143
2017-01-22,167
2017-01-23,181
2017-01-24,184
2017-01-25,153
2017-01-26,162
2017-01-27,158
2017-01-28,155
2017-01-29,129
2017-01-30,235
2017-01-31,203
2017-02-01,156
2017-02-02,129
2017-02-03,147
2017-02-04,146
2017-02-05,139
2017-02-06,178
2017-02-07,174
2017-02-08,161
2017-02-09,166
2017-02-10,175
2017-02-11,161
2017-02-12,132
2017-02-13,176
2017-02-14,190
2017-02-15,189
2017-02-16,190
2017-02-17,173
2017-02-18,156
2017-02-19,117
2017-02-20,149
2017-02-21,189
2017-02-22,183
2017-02-23,149
2017-02-24,139
2017-02-25,108
2017-02-26,145
2017-02-27,166
2017-02-28,148
2017-03-01,172
2017-03-02,141
2017-03-03,167
2017-03-04,144
2017-03-05,145
2017-03-06,187
2017-03-07,150
2017-03-08,168
2017-03-09,156
2017-03-10,173
2017-03-11,143
2017-03-12,139
2017-03-13,205
2017-03-14,179
2017-03-15,180
2017-03-16,179
2017-03-17,166
2017-03-18,178
2017-03-19,128
2017-03-20,208
2017-03-21,169
2017-03-22,186
2017-03-23,174
2017-03-24,189
2017-03-25,135
2017-03-26,146
2017-03-27,182
2017-03-28,164
2017-03-29,158
2017-03-30,201
2017-03-31,165
2017-04-01,147
2017-04-02,145
2017-04-03,189
2017-04-04,168
2017-04-05,160
2017-04-06,174
2017-04-07,193
2017-04-08,181
2017-04-09,151
2017-04-10,188
2017-04-11,173
2017-04-12,142
2017-04-13,156
2017-04-14,174
2017-04-15,159
2017-04-16,136
2017-04-17,198
2017-04-18,165
2017-04-19,203
2017-04-20,159
2017-04-21,172
2017-04-22,140
2017-04-23,148
2017-04-24,189
2017-04-25,186
2017-04-26,200
2017-04-27,173
2017-04-28,179
2017-04-29,118
2017-04-30,145
2017-05-01,178
2017-05-02,196
2017-05-03,149
2017-05-04,173
2017-05-05,191
2017-05-06,141
2017-05-07,160
2017-05-08,190
2017-05-09,175
2017-05-10,186
2017-05-11,192
2017-05-12,209
2017-05-13,151
2017-05-14,132
2017-05-15,210
2017-05-16,193
2017-05-17,170
2017-05-18,148
2017-05-19,159
2017-05-20,154
2017-05-21,126
2017-05-22,189
2017-05-23,204
2017-05-24,196
2017-05-25,188
2017-05-26,189
2017-05-27,162
2017-05-28,176
2017-05-29,197
2017-05-30,223
2017-05-31,198
2017-06-01,171
2017-06-02,178
2017-06-03,183
2017-06-04,139
2017-06-05,216
2017-06-06,181
2017-06-07,183
2017-06-08,202
2017-06-09,185
2017-06-10,168
2017-06-11,159
2017-06-12,191
2017-06-13,177
2017-06-14,205
2017-06-15,191
2017-06-16,221
2017-06-17,170
2017-06-18,192
2017-06-19,199
2017-06-20,185
2017-06-21,193
2017-06-22,203
2017-06-23,188
2017-06-24,158
2017-06-25,146
2017-06-26,222
2017-06-27,217
2017-06-28,176
2017-06-29,196
2017-06-30,190
2017-07-01,155
2017-07-02,169
2017-07-03,198
2017-07-04,179
2017-07-05,199
2017-07-06,217
2017-07-07,206
2017-07-08,175
2017-07-09,147
2017-07-10,187
2017-07-11,181
2017-07-12,167
2017-07-13,192
2017-07-14,199
2017-07-15,147
2017-07-16,140
2017-07-17,176
2017-07-18,242
2017-07-19,166
2017-07-20,200
2017-07-21,194
2017-07-22,146
2017-07-23,165
2017-07-24,195
2017-07-25,182
2017-07-26,198
2017-07-27,190
2017-07-28,228
2017-07-29,161
2017-07-30,139
2017-07-31,208
2017-08-01,216
2017-08-02,200
2017-08-03,204
2017-08-04,209
2017-08-05,162
2017-08-06,170
2017-08-07,157
2017-08-08,173
2017-08-09,206
2017-08-10,190
2017-08-11,188
2017-08-12,171
2017-08-13,179
2017-08-14,196
2017-08-15,237
2017-08-16,213
2017-08-17,171
2017-08-18,233
2017-08-19,189
2017-08-20,171
2017-08-21,238
2017-08-22,224
2017-08-23,244
2017-08-24,225
2017-08-25,220
2017-08-26,177
2017-08-27,147
2017-08-28,229
2017-08-29,217
2017-08-30,223
2017-08-31,191
2017-09-01,214
2017-09-02,157
2017-09-03,155
2017-09-04,179
2017-09-05,203
2017-09-06,199
2017-09-07,189
2017-09-08,189
2017-09-09,136
2017-09-10,131
2017-09-11,203
2017-09-12,212
2017-09-13,216
2017-09-14,212
2017-09-15,196
2017-09-16,198
2017-09-17,165
2017-09-18,219
2017-09-19,198
2017-09-20,201
2017-09-21,179
2017-09-22,211
2017-09-23,142
2017-09-24,118
2017-09-25,155
2017-09-26,188
2017-09-27,199
2017-09-28,193
2017-09-29,190
2017-09-30,185
2017-10-01,164
2017-10-02,193
2017-10-03,203
2017-10-04,214
2017-10-05,194
2017-10-06,189
2017-10-07,141
2017-10-08,157
2017-10-09,177
2017-10-10,174
2017-10-11,181
2017-10-12,191
2017-10-13,210
2017-10-14,135
2017-10-15,145
2017-10-16,203
2017-10-17,188
2017-10-18,210
2017-10-19,177
2017-10-20,193
2017-10-21,160
2017-10-22,145
2017-10-23,188
2017-10-24,164
2017-10-25,135
2017-10-26,168
2017-10-27,188
2017-10-28,148
2017-10-29,174
2017-10-30,171
2017-10-31,167
2017-11-01,185
2017-11-02,175
2017-11-03,172
2017-11-04,137
2017-11-05,152
2017-11-06,187
2017-11-07,173
2017-11-08,180
2017-11-09,170
2017-11-10,149
2017-11-11,158
2017-11-12,154
2017-11-13,174
2017-11-14,175
2017-11-15,175
2017-11-16,161
2017-11-17,206
2017-11-18,145
2017-11-19,153
2017-11-20,198
2017-11-21,180
2017-11-22,148
2017-11-23,95
2017-11-24,138
2017-11-25,130
2017-11-26,157
2017-11-27,234
2017-11-28,173
2017-11-29,188
2017-11-30,173
2017-12-01,182
2017-12-02,139
2017-12-03,177
2017-12-04,179
2017-12-05,156
2017-12-06,185
2017-12-07,172
